SiteId,Site_Name,Site_Brand,Site_Suburb,Lat,Lon
61401170,Coles Express Chapel Hill,Coles Express,Chapel Hill,-27.50495,152.960608
61401171,BP Moggill Road,BP,Indooroopilly,-27.497542,152.973688
61401172,Coles Express Taringa,Coles Express,St Lucia,-27.491569,152.994049
61401173,BP Indooroopilly,BP,Indooroopilly,-27.49952,152.97558
61401177,7-Eleven Graceville,7 Eleven,Graceville,-27.522091,152.980174
61401180,United Sherwood,United,Sherwood,-27.532891,152.983297
61401183,Ampol Foodary Annerley,Ampol,Annerley,-27.512206,153.031924
61401185,7-Eleven Fairfield Gardens,7 Eleven,Fairfield,-27.508669,153.025279
61401188,7-Eleven Yeronga,7 Eleven,Yeronga,-27.519475,153.015205
61401189,7-Eleven Moorvale,7 Eleven,Moorooka,-27.523933,153.023548
61401195,EG Ampol Moorooka,EG Ampol,Moorooka,-27.539587,153.021982
61401197,U-Go Rocklea,U-Go,Rocklea,-27.538741,153.005512
61401197,Ampol Foodary Rocklea,Ampol,Rocklea,-27.538741,153.005512
61401199,BP Stones Corner,BP,Greenslopes,-27.502423,153.045424
61401200,7-Eleven Greenslopes,7 Eleven,Greenslopes,-27.504472,153.040309
61401206,U-Go Park Ridge,U-Go,Park Ridge,-27.696775,153.038071
61401210,NightOwl BP Holland Park,BP,Holland Park,-27.515107,153.072619
61401212,Coles Express Logan Rd,Coles Express,Mount Gravatt,-27.529957,153.071863
61401212,Shell Reddy Express Logan Rd,Reddy Express,Mount Gravatt,-27.529903,153.071735
61401218,Liberty Deception Bay,Liberty,Deception Bay,-27.199318,153.032188
61401221,BP Kallangur,BP,Kallangur,-27.247219,153.007783
61401224,Ampol Foodary Kippa-Ring,Ampol,Kippa-Ring,-27.226726,153.084982
61401225,Metro Clontarf,Metro Fuel,Clontarf,-27.241009,153.086692
61401227,Caltex Redcliffe,Caltex,Redcliffe,-27.222121,153.110869
61401228,7-Eleven Redcliffe,7 Eleven,Redcliffe,-27.230464,153.109207
61401229,Ampol Foodary Redcliffe,Ampol,Redcliffe,-27.229447,153.102193
61401234,Coles Express Clontarf,Coles Express,Clontarf,-27.257305,153.085993
61401235,BP Boulevarde,BP,Woody Point,-27.255781,153.094537
61401238,Red Dog Petroleum,Independent,Kallangur,-27.254668,152.981878
61401246,7-Eleven Strathpine,7 Eleven,Strathpine,-27.307684,152.990428
61401249,7-Eleven Eatons Hill,7 Eleven,Eatons Hill,-27.337813,152.960299
61401250,7-Eleven Bald Hills,7 Eleven,Bald Hills,-27.319246,153.006877
61401252,U-Go Bracken Ridge,U-Go,Bracken Ridge,-27.319432,153.040903
61401254,Pacific Petroleum Deagon,Pacific Petroleum,Deagon,-27.324889,153.059401
61401255,Metro Petroleum Sandgate,Metro Fuel,Sandgate,-27.321586,153.067669
61401257,7-Eleven Sandgate,7 Eleven,Sandgate,-27.321088,153.067861
61401258,BP Bracken Ridge,BP,Bracken Ridge,-27.331009,153.042004
61401261,EG Ampol Deagon,EG Ampol,Deagon,-27.333895,153.059755
61401263,Caltex Zillmere,Caltex,Zillmere,-27.366586,153.037081
61401264,7-Eleven Aspley,7 Eleven,Aspley,-27.358333,153.017227
61401265,Coles Express Aspley,Coles Express,Aspley,-27.359821,153.016417
61401268,BP Aspley,BP,Aspley,-27.365464,153.016693
61401272,Coles Express Stafford Heights,Coles Express,Stafford Heights,-27.391717,153.011632
61401276,7-Eleven Aspley,7 Eleven,Aspley,-27.364918,153.026137
61401279,BP Connect Virginia,BP,Virginia,-27.374083,153.062026
61401280,Shell Reddy Express Geebung,Reddy Express,Geebung,-27.373966,153.035794
61401281,EG Ampol Chermside,EG Ampol,Chermside,-27.374887,153.024406
61401282,BP Geebung,BP,Geebung,-27.379303,153.046249
61401288,Caltex Nundah,Caltex,Nundah,-27.391876,153.058717
61401291,Ampol Foodary Nundah,Ampol,Nundah,-27.398563,153.059422
61401292,Ampol Foodary West Chermside,Ampol,Chermside West,-27.380107,153.022447
61401296,Freedom Fuels Nudgee,Freedom Fuels,Banyo,-27.386821,153.086893
61401298,BP Northgate,BP,Northgate,-27.393088,153.072382
61401301,Ampol Foodary Arana Hills,Ampol,Arana Hills,-27.396874,152.960839
61401302,Coles Express Arana Hills,Coles Express,Arana Hills,-27.397684,152.958871
61401307,BP Ferny Grove,BP,Ferny Grove,-27.402322,152.937106
61401309,Caltex Everton Park,Caltex,Everton Park,-27.401167,152.987098
61401316,BP Stafford,BP,Stafford,-27.409246,153.007894
61401323,BP Express Ashgrove,BP,Ashgrove,-27.439312,152.989804
61401324,7-Eleven Newmarket,7 Eleven,Newmarket,-27.438697,153.007549
61401325,NightOwl Shell Kelvin Grove,Shell,Kelvin Grove,-27.445405,153.008449
61401328,BP Kedron,BP,Kedron,-27.402135,153.03189
61401329,Caltex Kedron,Caltex,Kedron,-27.407341,153.032851
61401330,Freedom Fuels Wooloowin,Freedom Fuels,Wooloowin,-27.408151,153.047515
61401334,Ampol Foodary Stafford,Ampol,Stafford,-27.411163,153.023575
61401341,Caltex Clayfield,Caltex,Clayfield,-27.427363,153.050215
61401343,Liberty Grange,Liberty,Grange,-27.424711,153.014242
61401344,Caltex Grange,Caltex,Grange,-27.426484,153.017032
61401347,BP Windsor,BP,Windsor,-27.436091,153.03171
61401348,Ampol Foodary Lutwyche,Ampol,Lutwyche,-27.425923,153.032221
61401349,7-Eleven Albion,7 Eleven,Albion,-27.428904,153.036763
61401353,BP Connect Hamilton,BP,Hamilton,-27.439582,153.049288
61401356,Mobil Driveway Service Hendra Motors,Mobil,Hendra,-27.423757,153.062911
61401357,7-Eleven Ascot,7 Eleven,Ascot,-27.428401,153.062158
61401359,Ampol Eagle Farm,Ampol,Eagle Farm,-27.434674,153.079126
61401365,BP Lindum,BP,Wynnum West,-27.443086,153.143821
61401366,Coles Express Wynnum,Coles Express,Wynnum,-27.443722,153.158029
61401367,Caltex Wynnum West,Caltex,Wynnum West,-27.459106,153.151312
61401371,Caltex Wynnum,Caltex,Wynnum,-27.454515,153.16659
61401373,BP Manly,BP,Manly,-27.457618,153.178618
61401375,7-Eleven The Gap,7 Eleven,The Gap,-27.442954,152.943628
61401377,BP The Gap,BP,The Gap,-27.446707,152.959648
61401378,BP Beenleigh,BP,Beenleigh,-27.714145,153.190213
61401380,7-Eleven Ashgrove,7 Eleven,Ashgrove,-27.445966,152.991064
61401382,BP Ashgrove (Waterworks Rd),BP,Ashgrove,-27.446173,152.997628
61401386,Bizzells Garage Paddington,Independent,Paddington,-27.459016,152.998513
61401391,Ampol Foodary Toowong,Ampol,Toowong,-27.478353,152.985906
61401393,Shell Reddy Express Milton,Reddy Express,Milton,-27.474103,153.003788
61401393,Coles Express Milton,Coles Express,Milton,-27.474103,153.003788
61401398,Shell Reddy Express Mount Gravatt,Reddy Express,Mount Gravatt,-27.54228,153.081895
61401399,7-Eleven Mt Gravatt East,7 Eleven,Mount Gravatt East,-27.531667,153.093346
61401406,BP Capalaba,BP,Capalaba,-27.520762,153.191515
61401409,Metro Petroleum Thornlands,Metro Fuel,Thornlands,-27.547921,153.265198
61401411,Ampol Foodary Jindalee,Ampol,Jindalee,-27.536554,152.941828
61401413,BP Riverhills,BP,Riverhills,-27.556375,152.914702
61401417,BP Oxley,BP,Oxley,-27.553177,152.978872
61401421,Freedom Fuels Inala,Freedom Fuels,Inala,-27.577858,152.973598
61401422,7-Eleven Durack,7 Eleven,Inala,-27.579277,152.974477
61401426,Coles Express Granard Rd,Coles Express,Rocklea,-27.558091,153.015808
61401427,Pacific Fuel Solutions Rocklea,Pacific Fuel Solutio,Rocklea,-27.558127,153.006358
61401428,Coles Express Rocklea,Coles Express,Rocklea,-27.560266,153.001138
61401431,NightOwl BP Salisbury,BP,Salisbury,-27.545998,153.038521
61401436,NightOwl BP Sunnybank,BP,Sunnybank,-27.567106,153.064684
61401438,Coles Express Sunnybank,Coles Express,Sunnybank,-27.575989,153.062932
61401440,Metro Petroleum Sunnybank,Metro Fuel,Sunnybank,-27.570524,153.055657
61401441,7-Eleven Acacia Ridge,7 Eleven,Acacia Ridge,-27.589198,153.027196
61401443,Metco Coopers Plains,Independent,Coopers Plains,-27.570166,153.037912
61401444,7-Eleven Acacia Ridge East,7 Eleven,Acacia Ridge,-27.575608,153.039526
61401445,7-Eleven Wishart,7 Eleven,Wishart,-27.556444,153.089725
61401446,BP Wishart,BP,Wishart,-27.561388,153.089338
61401447,EG Ampol Macgregor,EG Ampol,Macgregor,-27.562252,153.074314
61401448,Shell Reddy Express Kessels Rd,Reddy Express,Mount Gravatt,-27.560992,153.078766
61401450,Caltex Eight Mile Plains,Caltex,Eight Mile Plains,-27.575392,153.091519
61401453,OOM Energy Underwood,Independent,Underwood,-27.598813,153.109186
61401457,7-Eleven North Ipswich,7 Eleven,North Ipswich,-27.603169,152.761489
61401460,7-Eleven Dinmore,7 Eleven,Dinmore,-27.598024,152.832097
61401461,Freedom Fuels Ipswich,Freedom Fuels,Ebbw Vale,-27.601009,152.826358
61401462,Ampol Foodary Goodna,Ampol,Goodna,-27.608638,152.897761
61401471,7-Eleven Algester,7 Eleven,Algester,-27.612577,153.039553
61401472,Caltex Stretton,Caltex,Stretton,-27.611617,153.063515
61401473,Coles Express Woodridge,Coles Express,Woodridge,-27.624373,153.116836
61401474,Metro Petroleum Kuraby,Metro Fuel,Kuraby,-27.604144,153.089323
61401477,7-Eleven Springwood,7 Eleven,Springwood,-27.61027,153.124158
61401478,Shell Reddy Express Springwood,Reddy Express,Slacks Creek,-27.633596,153.131329
61401479,7-Eleven Woodridge,7 Eleven,Woodridge,-27.618952,153.104983
61401480,Coles Express Daisy Hill,Coles Express,Daisy Hill,-27.644707,153.153529
61401483,7-Eleven Logan City,7 Eleven,Logan City,-27.641272,153.107503
61401485,BP Mt Cotton,BP,Mount Cotton,-27.637333,153.239623
61401487,BP Redland Bay,BP,Redland Bay,-27.606007,153.288037
61401492,Metro West Ipswich,Metro Fuel,West Ipswich,-27.618898,152.749684
61401496,Ampol Foodary Leichhardt,Ampol,Leichhardt,-27.627592,152.743669
61401497,Pacific Petroleum Churchill,Pacific Petroleum,Churchill,-27.643974,152.75091
61401500,Ampol Foodary Booval,Ampol,Booval,-27.613441,152.792164
61401502,Metco Silkstone,Independent,Silkstone,-27.621451,152.789644
61401503,BP Eastern Heights,BP,Eastern Heights,-27.627994,152.777695
61401505,United Yamanto,United,Yamanto,-27.655108,152.747776
61401506,BP Yamanto,BP,Yamanto,-27.660415,152.740213
61401507,Coles Express Yamanto,Coles Express,Yamanto,-27.660061,152.739466
61401508,7-Eleven Redbank Plains,7 Eleven,Redbank Plains,-27.644962,152.871607
61401510,Speed Fuel Kingston,Independent,Kingston,-27.658801,153.116863
61401510,BP Kingston,BP,Kingston,-27.658801,153.116863
61401512,7-Eleven Marsden,7 Eleven,Marsden,-27.680671,153.114682
61401514,Ampol Foodary Waterford,Ampol,Waterford West,-27.691549,153.134371
61401517,Coles Express Loganholme,Coles Express,Loganholme,-27.663322,153.177523
61401520,Pacific Petroleum Beenleigh,Pacific Petroleum,Beenleigh,-27.708448,153.202966
61401523,Ampol Foodary Carseldine,Ampol,Carseldine,-27.342181,153.010801
61401524,Ampol Foodary Alexandra Hills,Ampol,Alexandra Hills,-27.522943,153.219754
61401530,Shell Reddy Express Coorparoo,Reddy Express,Coorparoo,-27.496906,153.055324
61401531,Coles Express Alexandra Hills,Coles Express,Alexandra Hills,-27.521191,153.212152
61401534,Coles Express Rochedale,Coles Express,Rochedale,-27.595663,153.121522
61401535,Coles Express Calamvale,Coles Express,Calamvale,-27.632785,153.047023
61401537,Coles Express Virginia,Coles Express,Virginia,-27.369937,153.061645
61401541,Ampol Foodary Hamilton,Ampol,Hamilton,-27.438358,153.067039
61401543,7-Eleven Kensington Hills,7 Eleven,Bray Park,-27.296911,152.975134
61401544,BP Connect Bowen Bridge,BP,Herston,-27.445376,153.029391
61401545,Freedom Fuels Mt Gravatt,Freedom Fuels,Mount Gravatt East,-27.536311,153.087877
61401546,BP Connect Springwood,BP,Springwood,-27.622297,153.128134
61401547,7-Eleven Kingston,7 Eleven,Woodridge,-27.644818,153.118117
61401550,Caltex Rochedale,Caltex,Rochedale South,-27.580273,153.124741
61401551,EG Ampol Kenmore,EG Ampol,Kenmore,-27.507547,152.940547
61401554,Coles Express Holland Park,Coles Express,Holland Park,-27.526702,153.055816
61401555,Caltex Woodridge,Caltex,Woodridge,-27.628099,153.117901
61401559,BP Nerang,BP,Nerang,-27.999238,153.338983
61401560,Caltex Kalinga,Caltex,Kalinga,-27.410437,153.047737
61401561,Shell Reddy Express Kippa-Ring,Reddy Express,Kippa-Ring,-27.229047,153.08531
61401567,Hope Energy  Biggera Waters,Independent,Biggera Waters,-27.931363,153.376015
61401568,Freedom Fuels Acacia Ridge,Freedom Fuels,Acacia Ridge,-27.595774,153.018424
61401569,Coles Express Marsden,Coles Express,Marsden,-27.680893,153.092203
61401587,Ampol Foodary Nerang,Ampol,Nerang,-28.007725,153.344308
61401588,7-Eleven Victoria Point,7 Eleven,Victoria Point,-27.584359,153.281092
61401590,Caltex Wilston,Caltex,Wilston,-27.435997,153.015046
61401591,Caltex Mango Hill,Caltex,Mango Hill,-27.226303,153.036016
61401597,Ampol Foodary Elanora,Ampol,Elanora,-28.122814,153.461404
61401598,Pacific Fuel Solutions Burleigh Heads Depot,Pacific Fuel Solutio,Burleigh Heads,-28.101943,153.412798
61401599,Freedom Fuels Redbank Plains,Freedom Fuels,Redbank Plains,-27.627592,152.874604
61401602,7-Eleven Browns Plains,7 Eleven,Browns Plains,-27.663931,153.063445
61401603,Caltex Chandler,Caltex,Chandler,-27.517378,153.183394
61401604,NightOwl Caltex Labrador,Caltex,Labrador,-27.948955,153.397144
61401605,BP Annerley,BP,Annerley,-27.522508,153.025576
61401606,Liberty Deception Bay,Liberty,Deception Bay,-27.205168,153.038383
61401607,Shell Currumbin,Shell,Currumbin,-28.144786,153.471766
61401610,Ampol Foodary Coombabah,Ampol,Coombabah,-27.912118,153.388372
61401613,U-Go Cleveland,U-Go,Cleveland,-27.532512,153.266379
61401616,7-Eleven Browns Plain,7 Eleven,Browns Plains,-27.664036,153.061471
61401617,Coles Express Beenleigh,Coles Express,Beenleigh,-27.714532,153.193585
61401620,U-Go Loganholme,U-Go,Loganholme,-27.662967,153.179755
