SiteId,Site_Name,Site_Brand,Site_Suburb,Fuel_Type,minutes_lowest,minutes_total,lowest_price_share_pct,avg_cpl
61401221,BP Kallangur,BP,Kallangur,e10,89954.0,304972.000000253,29.5,187.1
61401224,Ampol Foodary Kippa-Ring,Ampol,Kippa-Ring,PULP 95/96 RON,305186.0,305186.000000238,100.0,204.1
61401224,Ampol Foodary Kippa-Ring,Ampol,Kippa-Ring,PULP 98 RON,57203.0,305186.000000238,18.74,212.1
61401224,Ampol Foodary Kippa-Ring,Ampol,Kippa-Ring,Premium Diesel,293035.0,293035.000000298,100.0,195.9
61401224,Ampol Foodary Kippa-Ring,Ampol,Kippa-Ring,Unleaded,271032.0,305186.000000238,88.81,187.8
61401224,Ampol Foodary Kippa-Ring,Ampol,Kippa-Ring,e10,271032.0,305186.000000238,88.81,185.8
61401225,Metro Clontarf,Metro Fuel,Clontarf,LPG,257934.0,257933.999999687,100.0,99.9
61401225,Metro Clontarf,Metro Fuel,Clontarf,PULP 98 RON,250622.0,304698.999999762,82.25,197.5
61401225,Metro Clontarf,Metro Fuel,Clontarf,Premium Diesel,282072.0,292745.000000149,96.35,178.2
61401225,Metro Clontarf,Metro Fuel,Clontarf,Unleaded,230563.0,304698.999999762,75.67,177.1
61401225,Metro Clontarf,Metro Fuel,Clontarf,e10,259388.0,304621.000000387,85.15,173.8
61401227,Caltex Redcliffe,Caltex,Redcliffe,PULP 98 RON,203874.0,305119.000000209,66.82,210.8
61401227,Caltex Redcliffe,Caltex,Redcliffe,Premium Diesel,193201.0,305209.000000209,63.3,197.0
61401227,Caltex Redcliffe,Caltex,Redcliffe,Unleaded,244473.0,305119.000000209,80.12,187.9
61401227,Caltex Redcliffe,Caltex,Redcliffe,e10,236046.0,305119.000000209,77.36,185.9
61401228,7-Eleven Redcliffe,7 Eleven,Redcliffe,PULP 95/96 RON,286978.0,305119.000000209,94.05,201.0
61401228,7-Eleven Redcliffe,7 Eleven,Redcliffe,PULP 98 RON,282545.0,305119.000000209,92.6,208.0
61401228,7-Eleven Redcliffe,7 Eleven,Redcliffe,Premium Diesel,276794.0,305209.000000209,90.69,192.3
61401228,7-Eleven Redcliffe,7 Eleven,Redcliffe,Unleaded,291521.0,305119.000000209,95.54,185.9
61401228,7-Eleven Redcliffe,7 Eleven,Redcliffe,e10,281512.0,305119.000000209,92.26,184.0
61401229,Ampol Foodary Redcliffe,Ampol,Redcliffe,PULP 95/96 RON,93959.0,305119.000000209,30.79,204.7
61401229,Ampol Foodary Redcliffe,Ampol,Redcliffe,PULP 98 RON,94188.0,305119.000000209,30.87,212.7
61401229,Ampol Foodary Redcliffe,Ampol,Redcliffe,Premium Diesel,208949.0,305209.000000209,68.46,193.7
